"","INSPIREID","COUNTRY","NATLEV","NATLEVNAME","NATCODE","NAMEUNIT","CODNUT1","CODNUT2","CODNUT3","IDmuni","dc"
"1","ES.IGN.BDDAE.34172653056","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34172653056,"Mancomunidad de Nalda, Sorzano y Viguera","ES2","ES23","ES230",53056,5
"2","ES.IGN.BDDAE.34205454001","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34205454001,"Isla del Perejil","ES6","ES64","ES640",54001,9
"3","ES.IGN.BDDAE.34205454002","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34205454002,"Peñón de Vélez de la Gomera","ES6","ES64","ES640",54002,4
"4","ES.IGN.BDDAE.34205454003","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34205454003,"Islas Chafarinas","ES6","ES64","ES640",54003,0
"5","ES.IGN.BDDAE.34205454004","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34205454004,"Islas Alhucemas","ES6","ES64","ES640",54004,5
"6","ES.IGN.BDDAE.34205454005","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34205454005,"Peñón de Alhucemas","ES6","ES64","ES640",54005,8
"7","ES.IGN.BDDAE.34162053000","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34162053000,"Parzonería general de Guipúzcoa y Álava","ES2","ES21","ES212",53000,7
"8","ES.IGN.BDDAE.34162053048","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34162053048,"Mancomunidad de Amezketa y Ordizia","ES2","ES21","ES212",53048,0
"9","ES.IGN.BDDAE.34153153059","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153059,"Facero de Uzamalarre","ES2","ES22","ES220",53059,0
"10","ES.IGN.BDDAE.34153153060","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153060,"Facería de Arambelza","ES2","ES22","ES220",53060,4
"11","ES.IGN.BDDAE.34153153061","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153061,"Mancomunidad de Beunza y Juarbe","ES2","ES22","ES220",53061,1
"12","ES.IGN.BDDAE.34153153062","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153062,"Comunidad de Barbarín y Olejúa","ES2","ES22","ES220",53062,6
"13","ES.IGN.BDDAE.34153153063","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153063,"Monte Comunal de las Limitaciones de las Améscoas","ES2","ES22","ES220",53063,2
"14","ES.IGN.BDDAE.34153153064","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153064,"Facería de Ezcabarte y otros","ES2","ES22","ES220",53064,7
"15","ES.IGN.BDDAE.34153153065","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153065,"Facería de Aldape","ES2","ES22","ES220",53065,0
"16","ES.IGN.BDDAE.34153153066","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153066,"Facería de Montejurra","ES2","ES22","ES220",53066,3
"17","ES.IGN.BDDAE.34153153067","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153067,"Comunidad del Valle de Salazar","ES2","ES22","ES220",53067,9
"18","ES.IGN.BDDAE.34153153068","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153068,"Facero de Aristregui","ES2","ES22","ES220",53068,5
"19","ES.IGN.BDDAE.34153153069","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153069,"Facero de Ujué y Lerga","ES2","ES22","ES220",53069,8
"20","ES.IGN.BDDAE.34153153070","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153070,"Facería de Ayarza","ES2","ES22","ES220",53070,2
"21","ES.IGN.BDDAE.34153153078","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153078,"Bardenas Reales","ES2","ES22","ES220",53078,3
"22","ES.IGN.BDDAE.34153153080","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153080,"Sierra de Aralar","ES2","ES22","ES220",53080,0
"23","ES.IGN.BDDAE.34153153081","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153081,"Sierra de Lokiz","ES2","ES22","ES220",53081,7
"24","ES.IGN.BDDAE.34153153083","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34153153083,"Facería de Cogullo Alto, Cogullo Bajo, Sarmindieta y Chandivar","ES2","ES22","ES220",53083,8
"25","ES.IGN.BDDAE.34012353050","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34012353050,"Cuarto del Madroño","ES6","ES61","ES616",53050,6
"26","ES.IGN.BDDAE.34160153002","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34160153002,"Parzoneria de Entzia","ES2","ES21","ES211",53002,9
"27","ES.IGN.BDDAE.34022253049","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34022253049,"Comunero de Ansó y Hecho","ES2","ES24","ES241",53049,3
"28","ES.IGN.BDDAE.34024453076","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34024453076,"Comunidad de la Pardina del Mercadal","ES2","ES24","ES242",53076,1
"29","ES.IGN.BDDAE.34024453077","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34024453077,"El Franco","ES2","ES24","ES242",53077,7
"30","ES.IGN.BDDAE.34063953072","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34063953072,"Comunidad de Campoo y Cabuérniga","ES1","ES13","ES130",53072,4
"31","ES.IGN.BDDAE.34070953004","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953004,"Comunidad de Arauzo de Miel y Huerta del Rey","ES4","ES41","ES412",53004,0
"32","ES.IGN.BDDAE.34070953005","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953005,"Comunidad de Los Ausines y Revilla del Campo","ES4","ES41","ES412",53005,3
"33","ES.IGN.BDDAE.34070953006","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953006,"Comunidad de Barbadillo de Herreros y Vallejimeno (E.L.M.)","ES4","ES41","ES412",53006,6
"34","ES.IGN.BDDAE.34070953007","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953007,"Comunidad de 09076, 09290, 09578, 09606 y 09822","ES4","ES41","ES412",53007,2
"35","ES.IGN.BDDAE.34070953008","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953008,"Comunidad de 09076, 09290, 09578 y 09822","ES4","ES41","ES412",53008,8
"36","ES.IGN.BDDAE.34070953009","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953009,"Cabeza Alta","ES4","ES41","ES412",53009,1
"37","ES.IGN.BDDAE.34070953010","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953010,"Comunidad de 09076, 09150 y 09578","ES4","ES41","ES412",53010,5
"38","ES.IGN.BDDAE.34070953011","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953011,"Comunidad de 09076, 09498 y 09578","ES4","ES41","ES412",53011,2
"39","ES.IGN.BDDAE.34070953012","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953012,"Comunidad de 09076, 09578, 09606 y 09822","ES4","ES41","ES412",53012,7
"40","ES.IGN.BDDAE.34070953013","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953013,"Comunidad de Barbadillo del Pez y Jaramillo de la Fuente","ES4","ES41","ES412",53013,3
"41","ES.IGN.BDDAE.34070953014","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953014,"Comunidad de Barbadillo del Pez y Riocavado de la Sierra","ES4","ES41","ES412",53014,8
"42","ES.IGN.BDDAE.34070953015","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953015,"Comunidad de Bascuñana y Viloria de Rioja","ES4","ES41","ES412",53015,1
"43","ES.IGN.BDDAE.34070953016","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953016,"Monte Revenga","ES4","ES41","ES412",53016,4
"44","ES.IGN.BDDAE.34070953017","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953017,"Comunidad de Canicosa de la Sierra y Vilviestre del Pinar","ES4","ES41","ES412",53017,0
"45","ES.IGN.BDDAE.34070953018","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953018,"Comunidad de Canicosa de la Sierra y Casarejos","ES4","ES41","ES412",53018,6
"46","ES.IGN.BDDAE.34070953019","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953019,"Soncarazo","ES4","ES41","ES412",53019,9
"47","ES.IGN.BDDAE.34070953020","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953020,"Comunidad de Fuente Carazo","ES4","ES41","ES412",53020,3
"48","ES.IGN.BDDAE.34070953021","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953021,"Ledanía de 09162, 09290, 09412 y 09606","ES4","ES41","ES412",53021,0
"49","ES.IGN.BDDAE.34070953022","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953022,"Dehesa de San Felices","ES4","ES41","ES412",53022,5
"50","ES.IGN.BDDAE.34070953023","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953023,"Comunidad de Cilleruelo de Arriba y Pineda Trasmonte","ES4","ES41","ES412",53023,1
"51","ES.IGN.BDDAE.34070953024","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953024,"Comunidad de Covarrubias, Quintanilla del Coco y Retuerta","ES4","ES41","ES412",53024,6
"52","ES.IGN.BDDAE.34070953025","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953025,"Comunidad de Cubillo del Campo y Hontoria de la Cantera","ES4","ES41","ES412",53025,9
"53","ES.IGN.BDDAE.34070953026","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953026,"Comunidad de Gete y Hacinas","ES4","ES41","ES412",53026,2
"54","ES.IGN.BDDAE.34070953027","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953027,"Ledanía de Hacinas y Salas de los Infantes","ES4","ES41","ES412",53027,8
"55","ES.IGN.BDDAE.34070953028","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953028,"Ledanía de Hacinas, Salas de los Infantes y Villanueva de Carazo","ES4","ES41","ES412",53028,4
"56","ES.IGN.BDDAE.34070953029","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953029,"Comunidad de 09314, 09374, 09356 y 09126","ES4","ES41","ES412",53029,7
"57","ES.IGN.BDDAE.34070953031","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953031,"Valle de las Venadas","ES4","ES41","ES412",53031,8
"58","ES.IGN.BDDAE.34070953032","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953032,"Comunidad de Palacios de la Sierra, Vilviestre del Pinar y San Leonardo de Yagüe","ES4","ES41","ES412",53032,3
"59","ES.IGN.BDDAE.34070953033","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953033,"Comunidad de Quintanaortuño y Merindad de Río Ubierna","ES4","ES41","ES412",53033,9
"60","ES.IGN.BDDAE.34070953034","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953034,"Comunidad de Quintanar de la Sierra y Vilviestre del Pinar","ES4","ES41","ES412",53034,4
"61","ES.IGN.BDDAE.34070953035","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953035,"Comunidad de Revilla del Campo y Torrelara","ES4","ES41","ES412",53035,7
"62","ES.IGN.BDDAE.34070953036","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953036,"Ledanía de Castrillo de la Reina, Hacinas y Salas de los Infantes","ES4","ES41","ES412",53036,0
"63","ES.IGN.BDDAE.34070953037","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953037,"Comunidad de la Aynosa","ES4","ES41","ES412",53037,6
"64","ES.IGN.BDDAE.34070953038","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953038,"Comunidad de Villagalijo y San Vicente del Valle","ES4","ES41","ES412",53038,2
"65","ES.IGN.BDDAE.34070953039","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953039,"Comunidad de Tardajos y Las Quintanillas","ES4","ES41","ES412",53039,5
"66","ES.IGN.BDDAE.34070953040","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953040,"Comunidad de Tardajos y Rabé de las Calzadas","ES4","ES41","ES412",53040,9
"67","ES.IGN.BDDAE.34070953041","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953041,"Comunidad de Tinieblas de la Sierra y San Millán de Lara","ES4","ES41","ES412",53041,6
"68","ES.IGN.BDDAE.34070953042","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953042,"Comunidad de Vilviestre del Pinar y Palacios de la Sierra","ES4","ES41","ES412",53042,1
"69","ES.IGN.BDDAE.34070953043","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953043,"Comunidad de Villoruebo y Torrelara","ES4","ES41","ES412",53043,7
"70","ES.IGN.BDDAE.34070953044","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953044,"Comunidad de Vizcaínos y Jaramillo de la Fuente","ES4","ES41","ES412",53044,2
"71","ES.IGN.BDDAE.34070953045","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953045,"Comunidad de Quintanilla del Agua y Tordueles y Puentedura","ES4","ES41","ES412",53045,5
"72","ES.IGN.BDDAE.34070953046","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953046,"Comunidad de Merindad de Río Ubierna, Quintanilla Vivar y Sotragero","ES4","ES41","ES412",53046,8
"73","ES.IGN.BDDAE.34070953073","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34070953073,"Monte de la Mata","ES4","ES41","ES412",53073,0
"74","ES.IGN.BDDAE.34072453051","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34072453051,"Comunidad de Castrotierra de la Valduerna","ES4","ES41","ES413",53051,3
"75","ES.IGN.BDDAE.34072453052","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34072453052,"Foncabada","ES4","ES41","ES413",53052,8
"76","ES.IGN.BDDAE.34072453053","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34072453053,"Comunidad de Soto de la Vega y Villazala","ES4","ES41","ES413",53053,4
"77","ES.IGN.BDDAE.34072453054","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34072453054,"Mancomunidad de Villagatón y Quintana del Castillo","ES4","ES41","ES413",53054,9
"78","ES.IGN.BDDAE.34160153001","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34160153001,"Comunidad de la Sierra Brava de Badaya","ES2","ES21","ES211",53001,4
"79","ES.IGN.BDDAE.34073753071","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34073753071,"Coto Mancomunado","ES4","ES41","ES415",53071,9
"80","ES.IGN.BDDAE.34074053074","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34074053074,"Comunidad de Sepúlveda y Riaza","ES4","ES41","ES416",53074,5
"81","ES.IGN.BDDAE.34074253075","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34074253075,"San Bartolomé","ES4","ES41","ES417",53075,8
"82","ES.IGN.BDDAE.34080253003","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34080253003,"Dehesa de Santiago","ES4","ES42","ES421",53003,5
"83","ES.IGN.BDDAE.34081953047","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34081953047,"Aldovera","ES4","ES42","ES424",53047,4
"84","ES.IGN.BDDAE.34132853057","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34132853057,"Los Baldios","ES3","ES30","ES300",53057,1
"85","ES.IGN.BDDAE.34132853058","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34132853058,"El Redegüelo","ES3","ES30","ES300",53058,7
"86","ES.IGN.BDDAE.34092553055","ES","https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder","Municipio",34092553055,"Comunidad de El Pont de Bar y Cava","ES5","ES51","ES513",53055,2
